Cluster_category,date_ym,n,n_id,n_id_distinct
Diagnoses and findings (including resolved and remission),2015-09,1992210,1992210,1246760
Diagnoses and findings (including resolved and remission),2015-10,2045095,2045095,1283605
Diagnoses and findings (including resolved and remission),2015-11,2056430,2056430,1291520
Diagnoses and findings (including resolved and remission),2015-12,1937345,1937345,1220590
Diagnoses and findings (including resolved and remission),2016-01,2188370,2188370,1382275
Diagnoses and findings (including resolved and remission),2016-02,2147020,2147020,1344670
Diagnoses and findings (including resolved and remission),2016-03,2133385,2133385,1332985
Diagnoses and findings (including resolved and remission),2016-04,2013625,2013625,1265885
Diagnoses and findings (including resolved and remission),2016-05,1981185,1981185,1244090
Diagnoses and findings (including resolved and remission),2016-06,2091610,2091610,1303585
Diagnoses and findings (including resolved and remission),2016-07,1960350,1960350,1232795
Diagnoses and findings (including resolved and remission),2016-08,1993255,1993255,1241420
Diagnoses and findings (including resolved and remission),2016-09,2080820,2080820,1301165
Diagnoses and findings (including resolved and remission),2016-10,2135355,2135355,1346880
Diagnoses and findings (including resolved and remission),2016-11,2294425,2294425,1429030
Diagnoses and findings (including resolved and remission),2016-12,1950785,1950785,1235585
Diagnoses and findings (including resolved and remission),2017-01,2399015,2399015,1500645
Diagnoses and findings (including resolved and remission),2017-02,2167390,2167390,1359190
Diagnoses and findings (including resolved and remission),2017-03,2470865,2470865,1521285
Diagnoses and findings (including resolved and remission),2017-04,1884770,1884770,1205655
Diagnoses and findings (including resolved and remission),2017-05,2318430,2318430,1455390
Diagnoses and findings (including resolved and remission),2017-06,2475450,2475450,1560700
Diagnoses and findings (including resolved and remission),2017-07,2432210,2432210,1538505
Diagnoses and findings (including resolved and remission),2017-08,2362515,2362515,1470645
Diagnoses and findings (including resolved and remission),2017-09,2293095,2293095,1439300
Diagnoses and findings (including resolved and remission),2017-10,2483065,2483065,1537445
Diagnoses and findings (including resolved and remission),2017-11,2522005,2522005,1550315
Diagnoses and findings (including resolved and remission),2017-12,2035240,2035240,1285900
Diagnoses and findings (including resolved and remission),2018-01,2668435,2668435,1633195
Diagnoses and findings (including resolved and remission),2018-02,2328135,2328135,1446930
Diagnoses and findings (including resolved and remission),2018-03,2461830,2461830,1518025
Diagnoses and findings (including resolved and remission),2018-04,2250175,2250175,1397890
Diagnoses and findings (including resolved and remission),2018-05,3207470,3207470,1930015
Diagnoses and findings (including resolved and remission),2018-06,4442600,4442600,2547215
Diagnoses and findings (including resolved and remission),2018-07,4425375,4425375,2492195
Diagnoses and findings (including resolved and remission),2018-08,4317275,4317275,2445465
Diagnoses and findings (including resolved and remission),2018-09,4764325,4764325,2872290
Diagnoses and findings (including resolved and remission),2018-10,5681850,5681850,3356140
Diagnoses and findings (including resolved and remission),2018-11,5574090,5574090,3262250
Diagnoses and findings (including resolved and remission),2018-12,4559825,4559825,2754335
Diagnoses and findings (including resolved and remission),2019-01,6031490,6031490,3430415
Diagnoses and findings (including resolved and remission),2019-02,5469335,5469335,3093155
Diagnoses and findings (including resolved and remission),2019-03,5557410,5557410,3082940
Diagnoses and findings (including resolved and remission),2019-04,5040405,5040405,2796320
Diagnoses and findings (including resolved and remission),2019-05,5009365,5009365,2750195
Diagnoses and findings (including resolved and remission),2019-06,4698010,4698010,2584695
Diagnoses and findings (including resolved and remission),2019-07,5169885,5169885,2793115
Diagnoses and findings (including resolved and remission),2019-08,4616680,4616680,2527610
Diagnoses and findings (including resolved and remission),2019-09,5618365,5618365,3217715
Diagnoses and findings (including resolved and remission),2019-10,6572585,6572585,3785090
Diagnoses and findings (including resolved and remission),2019-11,6131735,6131735,3510415
Diagnoses and findings (including resolved and remission),2019-12,5560870,5560870,3264555
Diagnoses and findings (including resolved and remission),2020-01,6426495,6426495,3502410
Diagnoses and findings (including resolved and remission),2020-02,5739745,5739745,3152525
Diagnoses and findings (including resolved and remission),2020-03,4678585,4678585,2632270
Diagnoses and findings (including resolved and remission),2020-04,2084595,2084595,1277385
Diagnoses and findings (including resolved and remission),2020-05,2001215,2001215,1174845
Diagnoses and findings (including resolved and remission),2020-06,2763595,2763595,1505145
Diagnoses and findings (including resolved and remission),2020-07,3565265,3565265,1815940
Diagnoses and findings (including resolved and remission),2020-08,3618985,3618985,1873805
Diagnoses and findings (including resolved and remission),2020-09,5053760,5053760,2788105
Diagnoses and findings (including resolved and remission),2020-10,5150030,5150030,2838960
Diagnoses and findings (including resolved and remission),2020-11,4886535,4886535,2589170
Diagnoses and findings (including resolved and remission),2020-12,4253720,4253720,2297875
Diagnoses and findings (including resolved and remission),2021-01,4092460,4092460,2100390
Diagnoses and findings (including resolved and remission),2021-02,4244665,4244665,2083250
Diagnoses and findings (including resolved and remission),2021-03,5175875,5175875,2525985
Diagnoses and findings (including resolved and remission),2021-04,4276890,4276890,2159605
Diagnoses and findings (including resolved and remission),2021-05,4307710,4307710,2216470
Diagnoses and findings (including resolved and remission),2021-06,4749570,4749570,2429580
Diagnoses and findings (including resolved and remission),2021-07,4517815,4517815,2359745
Diagnoses and findings (including resolved and remission),2021-08,4214900,4214900,2239850
Diagnoses and findings (including resolved and remission),2021-09,5268510,5268510,3006410
Diagnoses and findings (including resolved and remission),2021-10,5135765,5135765,2942925
Diagnoses and findings (including resolved and remission),2021-11,5427085,5427085,3030915
Diagnoses and findings (including resolved and remission),2021-12,4402425,4402425,2520890
Diagnoses and findings (including resolved and remission),2022-01,4594185,4594185,2470330
Diagnoses and findings (including resolved and remission),2022-02,4631450,4631450,2509385
Diagnoses and findings (including resolved and remission),2022-03,5349160,5349160,2898535
Diagnoses and findings (including resolved and remission),2022-04,4253665,4253665,2402410
Diagnoses and findings (including resolved and remission),2022-05,4856160,4856160,2692245
Diagnoses and findings (including resolved and remission),2022-06,4492090,4492090,2550035
Diagnoses and findings (including resolved and remission),2022-07,4465485,4465485,2545120
Diagnoses and findings (including resolved and remission),2022-08,4506200,4506200,2543685
Diagnoses and findings (including resolved and remission),2022-09,4866475,4866475,2972100
Diagnoses and findings (including resolved and remission),2022-10,5515360,5515360,3528730
Diagnoses and findings (including resolved and remission),2022-11,5646020,5646020,3476705
Diagnoses and findings (including resolved and remission),2022-12,5089705,5089705,3364705
Diagnoses and findings (including resolved and remission),2023-01,5413130,5413130,3287610
Diagnoses and findings (including resolved and remission),2023-02,5024005,5024005,3086645
Diagnoses and findings (including resolved and remission),2023-03,5494245,5494245,3373200
Diagnoses and findings (including resolved and remission),2023-04,3581075,3581075,2296750
Diagnoses and findings (including resolved and remission),2023-05,1333145,1333145,971760
Investigations test and results,1990-01,25,25,20
Investigations test and results,1990-05,10,10,10
Investigations test and results,1990-06,10,10,10
Investigations test and results,1990-07,10,10,10
Investigations test and results,1990-08,10,10,10
Investigations test and results,1990-09,10,10,10
Investigations test and results,1990-10,10,10,10
Investigations test and results,1990-11,10,10,10
Investigations test and results,1990-12,10,10,10
Investigations test and results,1991-01,15,15,15
Investigations test and results,1991-02,10,10,10
Investigations test and results,1991-03,10,10,10
Investigations test and results,1991-04,10,10,10
Investigations test and results,1991-05,10,10,10
Investigations test and results,1991-06,10,10,10
Investigations test and results,1991-07,10,10,10
Investigations test and results,1991-08,10,10,10
Investigations test and results,1991-09,10,10,10
Investigations test and results,1991-10,10,10,10
Investigations test and results,1991-11,10,10,10
Investigations test and results,1991-12,10,10,10
Investigations test and results,1992-01,30,30,30
Investigations test and results,1992-02,10,10,10
Investigations test and results,1992-03,10,10,10
Investigations test and results,1992-04,10,10,10
Investigations test and results,1992-05,10,10,10
Investigations test and results,1992-06,10,10,10
Investigations test and results,1992-07,10,10,10
Investigations test and results,1992-08,10,10,10
Investigations test and results,1992-09,10,10,10
Investigations test and results,1992-10,10,10,10
Investigations test and results,1992-11,10,10,10
Investigations test and results,1993-01,30,30,25
Investigations test and results,1993-02,20,20,10
Investigations test and results,1993-03,15,15,10
Investigations test and results,1993-04,10,10,10
Investigations test and results,1993-05,10,10,10
Investigations test and results,1993-06,10,10,10
Investigations test and results,1993-07,10,10,10
Investigations test and results,1993-08,10,10,10
Investigations test and results,1993-09,10,10,10
Investigations test and results,1993-10,10,10,10
Investigations test and results,1993-11,10,10,10
Investigations test and results,1993-12,10,10,10
Investigations test and results,1994-01,40,40,30
Investigations test and results,1994-02,10,10,10
Investigations test and results,1994-03,10,10,10
Investigations test and results,1994-04,15,15,10
Investigations test and results,1994-05,15,15,10
Investigations test and results,1994-06,15,15,15
Investigations test and results,1994-07,10,10,10
Investigations test and results,1994-08,10,10,10
Investigations test and results,1994-09,20,20,10
Investigations test and results,1994-10,10,10,10
Investigations test and results,1994-11,15,15,15
Investigations test and results,1994-12,10,10,10
Investigations test and results,1995-01,60,60,45
Investigations test and results,1995-02,10,10,10
Investigations test and results,1995-03,20,20,15
Investigations test and results,1995-04,15,15,15
Investigations test and results,1995-05,35,35,20
Investigations test and results,1995-06,20,20,20
Investigations test and results,1995-07,10,10,10
Investigations test and results,1995-08,30,30,20
Investigations test and results,1995-09,15,15,10
Investigations test and results,1995-10,10,10,10
Investigations test and results,1995-11,15,15,10
Investigations test and results,1995-12,20,20,20
Investigations test and results,1996-01,75,75,60
Investigations test and results,1996-02,25,25,25
Investigations test and results,1996-03,15,15,15
Investigations test and results,1996-04,10,10,10
Investigations test and results,1996-05,15,15,15
Investigations test and results,1996-06,15,15,10
Investigations test and results,1996-07,25,25,15
Investigations test and results,1996-08,30,30,15
Investigations test and results,1996-09,20,20,15
Investigations test and results,1996-10,15,15,15
Investigations test and results,1996-11,20,20,20
Investigations test and results,1996-12,20,20,15
Investigations test and results,1997-01,85,85,60
Investigations test and results,1997-02,25,25,20
Investigations test and results,1997-03,25,25,20
Investigations test and results,1997-04,25,25,20
Investigations test and results,1997-05,10,10,10
Investigations test and results,1997-06,10,10,10
Investigations test and results,1997-07,35,35,25
Investigations test and results,1997-08,15,15,15
Investigations test and results,1997-09,25,25,25
Investigations test and results,1997-10,55,55,25
Investigations test and results,1997-11,30,30,20
Investigations test and results,1997-12,20,20,15
Investigations test and results,1998-01,130,130,95
Investigations test and results,1998-02,20,20,15
Investigations test and results,1998-03,40,40,25
Investigations test and results,1998-04,25,25,20
Investigations test and results,1998-05,15,15,15
Investigations test and results,1998-06,25,25,20
Investigations test and results,1998-07,30,30,25
Investigations test and results,1998-08,15,15,15
Investigations test and results,1998-09,30,30,30
Investigations test and results,1998-10,30,30,25
Investigations test and results,1998-11,40,40,35
Investigations test and results,1998-12,35,35,35
Investigations test and results,1999-01,135,135,110
Investigations test and results,1999-02,35,35,30
Investigations test and results,1999-03,50,50,40
Investigations test and results,1999-04,65,65,55
Investigations test and results,1999-05,55,55,40
Investigations test and results,1999-06,70,70,55
Investigations test and results,1999-07,60,60,50
Investigations test and results,1999-08,40,40,35
Investigations test and results,1999-09,80,80,60
Investigations test and results,1999-10,70,70,60
Investigations test and results,1999-11,65,65,55
Investigations test and results,1999-12,50,50,40
Investigations test and results,2000-01,205,205,165
Investigations test and results,2000-02,110,110,80
Investigations test and results,2000-03,105,105,75
Investigations test and results,2000-04,90,90,65
Investigations test and results,2000-05,110,110,85
Investigations test and results,2000-06,130,130,90
Investigations test and results,2000-07,120,120,80
Investigations test and results,2000-08,105,105,75
Investigations test and results,2000-09,125,125,95
Investigations test and results,2000-10,140,140,100
Investigations test and results,2000-11,160,160,105
Investigations test and results,2000-12,115,115,75
Investigations test and results,2001-01,330,330,245
Investigations test and results,2001-02,195,195,135
Investigations test and results,2001-03,245,245,160
Investigations test and results,2001-04,160,160,115
Investigations test and results,2001-05,160,160,115
Investigations test and results,2001-06,190,190,140
Investigations test and results,2001-07,190,190,130
Investigations test and results,2001-08,195,195,130
Investigations test and results,2001-09,200,200,140
Investigations test and results,2001-10,260,260,165
Investigations test and results,2001-11,310,310,175
Investigations test and results,2001-12,235,235,155
Investigations test and results,2002-01,460,460,325
Investigations test and results,2002-02,355,355,220
Investigations test and results,2002-03,395,395,240
Investigations test and results,2002-04,450,450,245
Investigations test and results,2002-05,490,490,260
Investigations test and results,2002-06,425,425,230
Investigations test and results,2002-07,490,490,280
Investigations test and results,2002-08,365,365,205
Investigations test and results,2002-09,455,455,260
Investigations test and results,2002-10,500,500,300
Investigations test and results,2002-11,550,550,310
Investigations test and results,2002-12,435,435,255
Investigations test and results,2003-01,860,860,525
Investigations test and results,2003-02,550,550,325
Investigations test and results,2003-03,690,690,400
Investigations test and results,2003-04,640,640,355
Investigations test and results,2003-05,645,645,370
Investigations test and results,2003-06,680,680,385
Investigations test and results,2003-07,800,800,455
Investigations test and results,2003-08,665,665,385
Investigations test and results,2003-09,855,855,505
Investigations test and results,2003-10,940,940,575
Investigations test and results,2003-11,765,765,485
Investigations test and results,2003-12,890,890,555
Investigations test and results,2004-01,1345,1345,910
Investigations test and results,2004-02,1175,1175,725
Investigations test and results,2004-03,1410,1410,885
Investigations test and results,2004-04,1150,1150,780
Investigations test and results,2004-05,1130,1130,765
Investigations test and results,2004-06,1150,1150,795
Investigations test and results,2004-07,1140,1140,795
Investigations test and results,2004-08,1090,1090,750
Investigations test and results,2004-09,1305,1305,865
Investigations test and results,2004-10,1200,1200,815
Investigations test and results,2004-11,1455,1455,1015
Investigations test and results,2004-12,1105,1105,780
Investigations test and results,2005-01,1675,1675,1175
Investigations test and results,2005-02,1485,1485,1065
Investigations test and results,2005-03,1490,1490,1060
Investigations test and results,2005-04,1545,1545,1065
Investigations test and results,2005-05,1550,1550,1050
Investigations test and results,2005-06,1595,1595,1105
Investigations test and results,2005-07,1450,1450,1000
Investigations test and results,2005-08,1555,1555,1045
Investigations test and results,2005-09,1725,1725,1130
Investigations test and results,2005-10,1590,1590,1100
Investigations test and results,2005-11,2035,2035,1435
Investigations test and results,2005-12,1545,1545,1090
Investigations test and results,2006-01,2250,2250,1625
Investigations test and results,2006-02,2180,2180,1515
Investigations test and results,2006-03,2570,2570,1795
Investigations test and results,2006-04,2050,2050,1440
Investigations test and results,2006-05,2595,2595,1865
Investigations test and results,2006-06,2790,2790,2025
Investigations test and results,2006-07,2740,2740,1995
Investigations test and results,2006-08,2700,2700,1965
Investigations test and results,2006-09,2790,2790,1995
Investigations test and results,2006-10,3105,3105,2250
Investigations test and results,2006-11,3550,3550,2575
Investigations test and results,2006-12,2530,2530,1930
Investigations test and results,2007-01,4160,4160,3150
Investigations test and results,2007-02,3375,3375,2445
Investigations test and results,2007-03,3645,3645,2630
Investigations test and results,2007-04,2630,2630,1960
Investigations test and results,2007-05,3060,3060,2230
Investigations test and results,2007-06,3075,3075,2175
Investigations test and results,2007-07,3215,3215,2410
Investigations test and results,2007-08,2875,2875,2060
Investigations test and results,2007-09,2835,2835,2095
Investigations test and results,2007-10,3600,3600,2705
Investigations test and results,2007-11,3765,3765,2760
Investigations test and results,2007-12,3010,3010,2210
Investigations test and results,2008-01,4695,4695,3445
Investigations test and results,2008-02,4115,4115,3085
Investigations test and results,2008-03,3620,3620,2695
Investigations test and results,2008-04,4255,4255,3150
Investigations test and results,2008-05,3850,3850,2900
Investigations test and results,2008-06,4130,4130,3145
Investigations test and results,2008-07,4275,4275,3255
Investigations test and results,2008-08,3780,3780,2865
Investigations test and results,2008-09,4650,4650,3440
Investigations test and results,2008-10,5230,5230,3965
Investigations test and results,2008-11,5215,5215,3915
Investigations test and results,2008-12,4850,4850,3680
Investigations test and results,2009-01,6790,6790,5290
Investigations test and results,2009-02,6380,6380,4995
Investigations test and results,2009-03,7425,7425,5585
Investigations test and results,2009-04,5905,5905,4530
Investigations test and results,2009-05,5425,5425,4175
Investigations test and results,2009-06,6510,6510,4990
Investigations test and results,2009-07,6215,6215,4810
Investigations test and results,2009-08,5605,5605,4340
Investigations test and results,2009-09,6770,6770,5230
Investigations test and results,2009-10,6995,6995,5510
Investigations test and results,2009-11,7360,7360,5755
Investigations test and results,2009-12,6425,6425,4995
Investigations test and results,2010-01,8160,8160,6300
Investigations test and results,2010-02,8340,8340,6525
Investigations test and results,2010-03,9790,9790,7540
Investigations test and results,2010-04,6975,6975,5330
Investigations test and results,2010-05,6640,6640,5090
Investigations test and results,2010-06,7420,7420,5760
Investigations test and results,2010-07,6805,6805,5210
Investigations test and results,2010-08,6405,6405,5010
Investigations test and results,2010-09,7485,7485,5780
Investigations test and results,2010-10,8120,8120,6270
Investigations test and results,2010-11,9360,9360,7170
Investigations test and results,2010-12,7010,7010,5440
Investigations test and results,2011-01,9540,9540,7505
Investigations test and results,2011-02,9620,9620,7380
Investigations test and results,2011-03,11985,11985,9075
Investigations test and results,2011-04,10135,10135,7975
Investigations test and results,2011-05,12720,12720,9965
Investigations test and results,2011-06,13925,13925,10650
Investigations test and results,2011-07,13265,13265,10380
Investigations test and results,2011-08,13990,13990,10805
Investigations test and results,2011-09,15255,15255,12000
Investigations test and results,2011-10,17055,17055,13320
Investigations test and results,2011-11,24450,24450,18580
Investigations test and results,2011-12,17805,17805,13820
Investigations test and results,2012-01,25440,25440,19890
Investigations test and results,2012-02,24535,24535,19280
Investigations test and results,2012-03,24875,24875,19695
Investigations test and results,2012-04,19640,19640,15490
Investigations test and results,2012-05,24865,24865,19465
Investigations test and results,2012-06,20865,20865,16370
Investigations test and results,2012-07,25635,25635,20095
Investigations test and results,2012-08,23240,23240,18370
Investigations test and results,2012-09,22795,22795,18000
Investigations test and results,2012-10,27275,27275,21465
Investigations test and results,2012-11,27950,27950,21890
Investigations test and results,2012-12,20915,20915,16670
Investigations test and results,2013-01,30505,30505,24205
Investigations test and results,2013-02,29015,29015,22925
Investigations test and results,2013-03,28920,28920,22785
Investigations test and results,2013-04,27690,27690,21900
Investigations test and results,2013-05,27445,27445,21620
Investigations test and results,2013-06,28795,28795,22590
Investigations test and results,2013-07,32315,32315,25605
Investigations test and results,2013-08,26985,26985,21370
Investigations test and results,2013-09,28035,28035,22270
Investigations test and results,2013-10,32315,32315,25420
Investigations test and results,2013-11,32590,32590,25550
Investigations test and results,2013-12,27675,27675,21755
Investigations test and results,2014-01,37910,37910,29840
Investigations test and results,2014-02,33490,33490,26475
Investigations test and results,2014-03,35675,35675,27945
Investigations test and results,2014-04,29650,29650,23430
Investigations test and results,2014-05,29955,29955,23545
Investigations test and results,2014-06,31635,31635,24835
Investigations test and results,2014-07,32530,32530,25475
Investigations test and results,2014-08,25650,25650,20305
Investigations test and results,2014-09,30980,30980,24405
Investigations test and results,2014-10,32775,32775,25710
Investigations test and results,2014-11,32185,32185,25545
Investigations test and results,2014-12,30605,30605,24060
Investigations test and results,2015-01,38745,38745,30540
Investigations test and results,2015-02,38985,38985,30565
Investigations test and results,2015-03,43095,43095,33985
Investigations test and results,2015-04,32905,32905,26085
Investigations test and results,2015-05,30945,30945,24270
Investigations test and results,2015-06,34825,34825,27465
Investigations test and results,2015-07,34860,34860,27475
Investigations test and results,2015-08,28890,28890,22910
Investigations test and results,2015-09,32995,32995,26115
Investigations test and results,2015-10,34995,34995,27795
Investigations test and results,2015-11,38235,38235,30035
Investigations test and results,2015-12,34180,34180,26835
Investigations test and results,2016-01,41245,41245,32730
Investigations test and results,2016-02,42530,42530,33335
Investigations test and results,2016-03,41835,41835,33175
Investigations test and results,2016-04,36725,36725,29005
Investigations test and results,2016-05,35955,35955,27995
Investigations test and results,2016-06,37315,37315,29380
Investigations test and results,2016-07,34010,34010,26940
Investigations test and results,2016-08,35930,35930,28410
Investigations test and results,2016-09,36560,36560,29000
Investigations test and results,2016-10,37145,37145,29565
Investigations test and results,2016-11,42685,42685,33930
Investigations test and results,2016-12,35660,35660,28130
Investigations test and results,2017-01,46360,46360,36465
Investigations test and results,2017-02,44630,44630,35185
Investigations test and results,2017-03,49675,49675,39060
Investigations test and results,2017-04,34315,34315,27130
Investigations test and results,2017-05,39985,39985,31400
Investigations test and results,2017-06,40435,40435,31930
Investigations test and results,2017-07,39605,39605,31000
Investigations test and results,2017-08,39355,39355,31090
Investigations test and results,2017-09,37705,37705,30070
Investigations test and results,2017-10,42510,42510,33590
Investigations test and results,2017-11,48040,48040,37815
Investigations test and results,2017-12,35920,35920,28405
Investigations test and results,2018-01,50410,50410,39640
Investigations test and results,2018-02,46045,46045,36445
Investigations test and results,2018-03,48965,48965,38380
Investigations test and results,2018-04,42645,42645,33485
Investigations test and results,2018-05,12399985,12399985,1340945
Investigations test and results,2018-06,33365290,33365290,3211550
Investigations test and results,2018-07,34372495,34372495,3295745
Investigations test and results,2018-08,33662295,33662295,3226925
Investigations test and results,2018-09,32353590,32353590,3116780
Investigations test and results,2018-10,44726565,44726565,3614895
Investigations test and results,2018-11,46286600,46286600,3491180
Investigations test and results,2018-12,36485955,36485955,2818040
Investigations test and results,2019-01,51341255,51341255,3695490
Investigations test and results,2019-02,47190550,47190550,3442085
Investigations test and results,2019-03,50255890,50255890,3628705
Investigations test and results,2019-04,47959860,47959860,3430870
Investigations test and results,2019-05,52599980,52599980,3628435
Investigations test and results,2019-06,50534815,50534815,3497550
Investigations test and results,2019-07,56906100,56906100,3863475
Investigations test and results,2019-08,50149300,50149300,3468620
Investigations test and results,2019-09,51833785,51833785,3571710
Investigations test and results,2019-10,58655400,58655400,3965945
Investigations test and results,2019-11,53617800,53617800,3684730
Investigations test and results,2019-12,45410875,45410875,3209410
Investigations test and results,2020-01,61016685,61016685,4013725
Investigations test and results,2020-02,55083790,55083790,3692190
Investigations test and results,2020-03,38000605,38000605,2703110
Investigations test and results,2020-04,11378410,11378410,927825
Investigations test and results,2020-05,19899250,19899250,1342870
Investigations test and results,2020-06,34971635,34971635,2126545
Investigations test and results,2020-07,45518515,45518515,2657350
Investigations test and results,2020-08,42826730,42826730,2529300
Investigations test and results,2020-09,49545485,49545485,2920745
Investigations test and results,2020-10,46695200,46695200,2840250
Investigations test and results,2020-11,49253540,49253540,2947055
Investigations test and results,2020-12,45392155,45392155,2749805
Investigations test and results,2021-01,41436675,41436675,2518745
Investigations test and results,2021-02,44887890,44887890,2693425
Investigations test and results,2021-03,57530865,57530865,3364865
Investigations test and results,2021-04,51742060,51742060,3060070
Investigations test and results,2021-05,51480285,51480285,3038315
Investigations test and results,2021-06,58036820,58036820,3379570
Investigations test and results,2021-07,55947460,55947460,3297380
Investigations test and results,2021-08,50699130,50699130,3065525
Investigations test and results,2021-09,39118740,39118740,2576570
Investigations test and results,2021-10,48488290,48488290,2997020
Investigations test and results,2021-11,55306765,55306765,3388400
Investigations test and results,2021-12,45877675,45877675,2896260
Investigations test and results,2022-01,49982420,49982420,3081390
Investigations test and results,2022-02,52588835,52588835,3232485
Investigations test and results,2022-03,60092050,60092050,3683355
Investigations test and results,2022-04,49950160,49950160,3127360
Investigations test and results,2022-05,59268000,59268000,3638160
Investigations test and results,2022-06,55725245,55725245,3487135
Investigations test and results,2022-07,55559260,55559260,3523000
Investigations test and results,2022-08,57834895,57834895,3662395
Investigations test and results,2022-09,55473585,55473585,3596390
Investigations test and results,2022-10,54231420,54231420,3580195
Investigations test and results,2022-11,59297485,59297485,3903565
Investigations test and results,2022-12,46159435,46159435,3188010
Investigations test and results,2023-01,59115535,59115535,3882185
Investigations test and results,2023-02,57190595,57190595,3831220
Investigations test and results,2023-03,63900840,63900840,4296575
Investigations test and results,2023-04,49227425,49227425,3293775
Investigations test and results,2023-05,17319070,17319070,1349400
Management and treatment,1990-01,495,495,390
Management and treatment,1990-02,160,160,120
Management and treatment,1990-03,150,150,100
Management and treatment,1990-04,150,150,115
Management and treatment,1990-05,180,180,140
Management and treatment,1990-06,200,200,145
Management and treatment,1990-07,240,240,150
Management and treatment,1990-08,175,175,120
Management and treatment,1990-09,200,200,135
Management and treatment,1990-10,195,195,135
Management and treatment,1990-11,255,255,155
Management and treatment,1990-12,200,200,130
Management and treatment,1991-01,660,660,505
Management and treatment,1991-02,240,240,165
Management and treatment,1991-03,240,240,170
Management and treatment,1991-04,295,295,195
Management and treatment,1991-05,310,310,210
Management and treatment,1991-06,310,310,220
Management and treatment,1991-07,355,355,230
Management and treatment,1991-08,265,265,190
Management and treatment,1991-09,250,250,190
Management and treatment,1991-10,325,325,235
Management and treatment,1991-11,355,355,240
Management and treatment,1991-12,320,320,215
Management and treatment,1992-01,800,800,600
Management and treatment,1992-02,350,350,245
Management and treatment,1992-03,410,410,290
Management and treatment,1992-04,370,370,260
Management and treatment,1992-05,455,455,330
Management and treatment,1992-06,525,525,370
Management and treatment,1992-07,455,455,310
Management and treatment,1992-08,415,415,285
Management and treatment,1992-09,420,420,310
Management and treatment,1992-10,400,400,290
Management and treatment,1992-11,490,490,310
Management and treatment,1992-12,395,395,300
Management and treatment,1993-01,910,910,720
Management and treatment,1993-02,520,520,370
Management and treatment,1993-03,515,515,360
Management and treatment,1993-04,495,495,365
Management and treatment,1993-05,560,560,410
Management and treatment,1993-06,750,750,545
Management and treatment,1993-07,615,615,425
Management and treatment,1993-08,585,585,390
Management and treatment,1993-09,550,550,395
Management and treatment,1993-10,600,600,445
Management and treatment,1993-11,640,640,415
Management and treatment,1993-12,560,560,410
Management and treatment,1994-01,1225,1225,880
Management and treatment,1994-02,660,660,465
Management and treatment,1994-03,730,730,495
Management and treatment,1994-04,690,690,480
Management and treatment,1994-05,775,775,540
Management and treatment,1994-06,935,935,700
Management and treatment,1994-07,735,735,500
Management and treatment,1994-08,730,730,515
Management and treatment,1994-09,685,685,485
Management and treatment,1994-10,760,760,530
Management and treatment,1994-11,755,755,540
Management and treatment,1994-12,670,670,465
Management and treatment,1995-01,1330,1330,1020
Management and treatment,1995-02,640,640,465
Management and treatment,1995-03,860,860,565
Management and treatment,1995-04,815,815,550
Management and treatment,1995-05,920,920,660
Management and treatment,1995-06,1135,1135,780
Management and treatment,1995-07,860,860,610
Management and treatment,1995-08,850,850,590
Management and treatment,1995-09,895,895,565
Management and treatment,1995-10,980,980,630
Management and treatment,1995-11,1010,1010,630
Management and treatment,1995-12,740,740,530
Management and treatment,1996-01,1535,1535,1150
Management and treatment,1996-02,810,810,580
Management and treatment,1996-03,1015,1015,640
Management and treatment,1996-04,1030,1030,705
Management and treatment,1996-05,1065,1065,715
Management and treatment,1996-06,1185,1185,860
Management and treatment,1996-07,1085,1085,760
Management and treatment,1996-08,930,930,645
Management and treatment,1996-09,975,975,665
Management and treatment,1996-10,1055,1055,720
Management and treatment,1996-11,1035,1035,715
Management and treatment,1996-12,895,895,635
Management and treatment,1997-01,1725,1725,1325
Management and treatment,1997-02,925,925,650
Management and treatment,1997-03,965,965,690
Management and treatment,1997-04,1085,1085,775
Management and treatment,1997-05,1105,1105,765
Management and treatment,1997-06,1230,1230,885
Management and treatment,1997-07,1210,1210,830
Management and treatment,1997-08,1010,1010,715
Management and treatment,1997-09,1050,1050,760
Management and treatment,1997-10,1075,1075,710
Management and treatment,1997-11,990,990,695
Management and treatment,1997-12,965,965,700
Management and treatment,1998-01,1745,1745,1315
Management and treatment,1998-02,935,935,675
Management and treatment,1998-03,1095,1095,775
Management and treatment,1998-04,1035,1035,735
Management and treatment,1998-05,1190,1190,895
Management and treatment,1998-06,1215,1215,915
Management and treatment,1998-07,1165,1165,840
Management and treatment,1998-08,1010,1010,735
Management and treatment,1998-09,1075,1075,755
Management and treatment,1998-10,1120,1120,755
Management and treatment,1998-11,1090,1090,795
Management and treatment,1998-12,1070,1070,730
Management and treatment,1999-01,1820,1820,1395
Management and treatment,1999-02,1020,1020,755
Management and treatment,1999-03,1235,1235,890
Management and treatment,1999-04,1225,1225,870
Management and treatment,1999-05,1095,1095,850
Management and treatment,1999-06,1295,1295,1010
Management and treatment,1999-07,1275,1275,930
Management and treatment,1999-08,1225,1225,890
Management and treatment,1999-09,1395,1395,1040
Management and treatment,1999-10,1275,1275,930
Management and treatment,1999-11,1350,1350,1010
Management and treatment,1999-12,1180,1180,880
Management and treatment,2000-01,2160,2160,1645
Management and treatment,2000-02,1355,1355,995
