"dataset","date_ym","n","n_id","n_distinct"
"Maternity Indicators Dataset (Initial Assessment)",202303,2580,2575,2520
"Maternity Indicators Dataset (Initial Assessment)",202304,2295,2285,2250
"Maternity Indicators Dataset (Initial Assessment)",202305,2085,2080,2060
"Maternity Indicators Dataset (Initial Assessment)",202306,2065,2050,2030
"Maternity Indicators Dataset (Initial Assessment)",202307,2030,2020,2005
"Maternity Indicators Dataset (Initial Assessment)",202308,2115,2100,2085
"Maternity Indicators Dataset (Initial Assessment)",202309,2020,2000,1990
"Maternity Indicators Dataset (Initial Assessment)",202310,2020,2000,1990
"Maternity Indicators Dataset (Initial Assessment)",202311,335,330,330
"Out Patient Dataset for Wales",200102,10,10,10
"Out Patient Dataset for Wales",200106,10,10,10
"Out Patient Dataset for Wales",200111,10,10,10
"Out Patient Dataset for Wales",200204,55,50,50
"Out Patient Dataset for Wales",200205,80,75,65
"Out Patient Dataset for Wales",200206,60,60,55
"Out Patient Dataset for Wales",200207,75,70,65
"Out Patient Dataset for Wales",200208,55,50,50
"Out Patient Dataset for Wales",200209,40,40,35
"Out Patient Dataset for Wales",200210,70,65,60
"Out Patient Dataset for Wales",200211,50,50,45
"Out Patient Dataset for Wales",200212,55,50,45
"Out Patient Dataset for Wales",200301,55,50,50
"Out Patient Dataset for Wales",200302,55,50,45
"Out Patient Dataset for Wales",200303,50,50,45
"Out Patient Dataset for Wales",200304,21325,21295,15105
"Out Patient Dataset for Wales",200305,21245,21225,15285
"Out Patient Dataset for Wales",200306,22620,22580,16325
"Out Patient Dataset for Wales",200307,23755,23730,16890
"Out Patient Dataset for Wales",200308,20935,20900,15000
"Out Patient Dataset for Wales",200309,24495,24465,16915
"Out Patient Dataset for Wales",200310,23625,23605,16585
"Out Patient Dataset for Wales",200311,20685,20660,14980
"Out Patient Dataset for Wales",200312,20835,20810,14915
"Out Patient Dataset for Wales",200401,22425,22415,16480
"Out Patient Dataset for Wales",200402,21770,21760,15850
"Out Patient Dataset for Wales",200403,26355,26340,17640
"Out Patient Dataset for Wales",200404,273555,272795,200780
"Out Patient Dataset for Wales",200405,271830,271110,201935
"Out Patient Dataset for Wales",200406,291345,290505,215125
"Out Patient Dataset for Wales",200407,276060,275210,212845
"Out Patient Dataset for Wales",200408,253800,253025,199165
"Out Patient Dataset for Wales",200409,287275,286450,222440
"Out Patient Dataset for Wales",200410,269970,269175,210725
"Out Patient Dataset for Wales",200411,300850,299990,231000
"Out Patient Dataset for Wales",200412,255575,254820,197530
"Out Patient Dataset for Wales",200501,279150,278280,218675
"Out Patient Dataset for Wales",200502,270455,269625,212530
"Out Patient Dataset for Wales",200503,289125,288285,222840
"Out Patient Dataset for Wales",200504,299990,299240,227965
"Out Patient Dataset for Wales",200505,310855,310025,221060
"Out Patient Dataset for Wales",200506,311390,310670,234320
"Out Patient Dataset for Wales",200507,292705,291895,223030
"Out Patient Dataset for Wales",200508,291285,290190,220840
"Out Patient Dataset for Wales",200509,311135,310230,234450
"Out Patient Dataset for Wales",200510,302815,301905,230720
"Out Patient Dataset for Wales",200511,319275,318380,240955
"Out Patient Dataset for Wales",200512,261545,260695,204025
"Out Patient Dataset for Wales",200601,314120,313180,239135
"Out Patient Dataset for Wales",200602,286965,286125,222885
"Out Patient Dataset for Wales",200603,329725,328770,245300
"Out Patient Dataset for Wales",200604,269725,268870,208190
"Out Patient Dataset for Wales",200605,314710,313700,235855
"Out Patient Dataset for Wales",200606,321120,320140,240115
"Out Patient Dataset for Wales",200607,304455,303475,229605
"Out Patient Dataset for Wales",200608,306750,305675,227805
"Out Patient Dataset for Wales",200609,307780,306650,233145
"Out Patient Dataset for Wales",200610,330055,329010,246750
"Out Patient Dataset for Wales",200611,331040,330000,248060
"Out Patient Dataset for Wales",200612,261305,260405,203410
"Out Patient Dataset for Wales",200701,337535,336450,250740
"Out Patient Dataset for Wales",200702,292020,291095,223715
"Out Patient Dataset for Wales",200703,329270,328350,247475
"Out Patient Dataset for Wales",200704,290910,289985,223140
"Out Patient Dataset for Wales",200705,329410,328455,245930
"Out Patient Dataset for Wales",200706,318400,317480,240090
"Out Patient Dataset for Wales",200707,325985,324960,243640
"Out Patient Dataset for Wales",200708,307735,306650,229525
"Out Patient Dataset for Wales",200709,304415,303455,232715
"Out Patient Dataset for Wales",200710,349975,348875,259635
"Out Patient Dataset for Wales",200711,328880,328020,247815
"Out Patient Dataset for Wales",200712,262500,261705,205540
"Out Patient Dataset for Wales",200801,340245,339350,257045
"Out Patient Dataset for Wales",200802,319920,318895,243620
"Out Patient Dataset for Wales",200803,296610,295690,228085
"Out Patient Dataset for Wales",200804,388450,387455,262170
"Out Patient Dataset for Wales",200805,318275,317425,236515
"Out Patient Dataset for Wales",200806,337200,336400,249920
"Out Patient Dataset for Wales",200807,361400,360420,261885
"Out Patient Dataset for Wales",200808,293890,293125,221075
"Out Patient Dataset for Wales",200809,361055,360155,264495
"Out Patient Dataset for Wales",200810,371400,370340,268900
"Out Patient Dataset for Wales",200811,338345,337485,252570
"Out Patient Dataset for Wales",200812,319285,318505,237300
"Out Patient Dataset for Wales",200901,359770,358800,265440
"Out Patient Dataset for Wales",200902,337425,336550,251290
"Out Patient Dataset for Wales",200903,390765,389900,285415
"Out Patient Dataset for Wales",200904,362780,361500,264490
"Out Patient Dataset for Wales",200905,337050,335960,250520
"Out Patient Dataset for Wales",200906,390265,388925,280125
"Out Patient Dataset for Wales",200907,388610,387275,278255
"Out Patient Dataset for Wales",200908,312780,311490,234805
"Out Patient Dataset for Wales",200909,361735,360415,267165
"Out Patient Dataset for Wales",200910,356900,355755,263575
"Out Patient Dataset for Wales",200911,357565,356475,264950
"Out Patient Dataset for Wales",200912,314730,313745,236350
"Out Patient Dataset for Wales",201001,322100,321030,238515
"Out Patient Dataset for Wales",201002,324895,323725,245600
"Out Patient Dataset for Wales",201003,378130,376735,275100
"Out Patient Dataset for Wales",201004,326950,325825,243640
"Out Patient Dataset for Wales",201005,324365,323250,243835
"Out Patient Dataset for Wales",201006,365210,363995,266060
"Out Patient Dataset for Wales",201007,355085,353810,259880
"Out Patient Dataset for Wales",201008,328995,327835,243755
"Out Patient Dataset for Wales",201009,366820,365650,267950
"Out Patient Dataset for Wales",201010,346445,345330,257490
"Out Patient Dataset for Wales",201011,374740,373600,273050
"Out Patient Dataset for Wales",201012,308280,307540,229795
"Out Patient Dataset for Wales",201101,349245,348335,259820
"Out Patient Dataset for Wales",201102,336155,335165,251850
"Out Patient Dataset for Wales",201103,394145,392990,284380
"Out Patient Dataset for Wales",201104,314660,313645,236800
"Out Patient Dataset for Wales",201105,357305,356105,263050
"Out Patient Dataset for Wales",201106,380820,379610,274590
"Out Patient Dataset for Wales",201107,354440,353285,260145
"Out Patient Dataset for Wales",201108,359150,358305,260335
"Out Patient Dataset for Wales",201109,381820,381015,276925
"Out Patient Dataset for Wales",201110,366890,366015,268500
"Out Patient Dataset for Wales",201111,387740,386930,280940
"Out Patient Dataset for Wales",201112,326205,325650,244000
"Out Patient Dataset for Wales",201201,377085,376435,275340
"Out Patient Dataset for Wales",201202,367230,366595,268605
"Out Patient Dataset for Wales",201203,381165,380500,277180
"Out Patient Dataset for Wales",201204,334405,333855,248495
"Out Patient Dataset for Wales",201205,396060,395445,284015
"Out Patient Dataset for Wales",201206,316400,315815,238980
"Out Patient Dataset for Wales",201207,367195,366500,269330
"Out Patient Dataset for Wales",201208,340045,339390,250545
"Out Patient Dataset for Wales",201209,340385,339820,256160
"Out Patient Dataset for Wales",201210,391565,390915,284370
"Out Patient Dataset for Wales",201211,372345,371680,273900
"Out Patient Dataset for Wales",201212,294040,293555,225990
"Out Patient Dataset for Wales",201301,370335,369830,271930
"Out Patient Dataset for Wales",201302,337190,336730,254530
"Out Patient Dataset for Wales",201303,330400,329990,249125
"Out Patient Dataset for Wales",201304,354315,353800,262215
"Out Patient Dataset for Wales",201305,347075,346590,257125
"Out Patient Dataset for Wales",201306,338625,338080,254815
"Out Patient Dataset for Wales",201307,375200,374620,273850
"Out Patient Dataset for Wales",201308,317985,317445,237720
"Out Patient Dataset for Wales",201309,354940,354380,264050
"Out Patient Dataset for Wales",201310,389050,388490,282270
"Out Patient Dataset for Wales",201311,353725,353180,263160
"Out Patient Dataset for Wales",201312,306650,306190,232225
"Out Patient Dataset for Wales",201401,369865,369310,273385
"Out Patient Dataset for Wales",201402,329335,328790,248425
"Out Patient Dataset for Wales",201403,348210,347625,260050
"Out Patient Dataset for Wales",201404,333280,329535,246645
"Out Patient Dataset for Wales",201405,329505,326005,244875
"Out Patient Dataset for Wales",201406,353790,350080,261760
"Out Patient Dataset for Wales",201407,369190,365315,267955
"Out Patient Dataset for Wales",201408,302910,299575,228050
"Out Patient Dataset for Wales",201409,371010,367160,271745
"Out Patient Dataset for Wales",201410,394240,391590,284530
"Out Patient Dataset for Wales",201411,362655,360135,269665
"Out Patient Dataset for Wales",201412,345580,343130,256025
"Out Patient Dataset for Wales",201501,368035,365505,271135
"Out Patient Dataset for Wales",201502,347895,345490,259760
"Out Patient Dataset for Wales",201503,387475,384745,281565
"Out Patient Dataset for Wales",201504,345380,343945,255695
"Out Patient Dataset for Wales",201505,325825,324510,245425
"Out Patient Dataset for Wales",201506,386805,385345,281810
"Out Patient Dataset for Wales",201507,376535,375145,273855
"Out Patient Dataset for Wales",201508,321665,320455,241010
"Out Patient Dataset for Wales",201509,382705,381380,278635
"Out Patient Dataset for Wales",201510,374400,373185,274990
"Out Patient Dataset for Wales",201511,366585,365360,271505
"Out Patient Dataset for Wales",201512,339260,338865,252920
"Out Patient Dataset for Wales",201601,361745,361320,270840
"Out Patient Dataset for Wales",201602,364985,364570,271270
"Out Patient Dataset for Wales",201603,363080,362650,268785
"Out Patient Dataset for Wales",201604,377365,376325,276830
"Out Patient Dataset for Wales",201605,376320,375330,275750
"Out Patient Dataset for Wales",201606,398755,397655,288485
"Out Patient Dataset for Wales",201607,358585,357505,263325
"Out Patient Dataset for Wales",201608,371590,370325,268890
"Out Patient Dataset for Wales",201609,395335,393860,285350
"Out Patient Dataset for Wales",201610,383090,381575,279425
"Out Patient Dataset for Wales",201611,412165,410565,295555
"Out Patient Dataset for Wales",201612,335430,335040,249145
"Out Patient Dataset for Wales",201701,392240,391820,284980
"Out Patient Dataset for Wales",201702,360845,360380,267025
"Out Patient Dataset for Wales",201703,417255,416735,299345
"Out Patient Dataset for Wales",201704,323745,322890,241840
"Out Patient Dataset for Wales",201705,382515,381485,277805
"Out Patient Dataset for Wales",201706,383645,382620,278380
"Out Patient Dataset for Wales",201707,359425,358420,263035
"Out Patient Dataset for Wales",201708,360725,359605,261250
"Out Patient Dataset for Wales",201709,367450,366400,269265
"Out Patient Dataset for Wales",201710,390270,389115,282950
"Out Patient Dataset for Wales",201711,390235,389155,283695
"Out Patient Dataset for Wales",201712,311825,311440,235880
"Out Patient Dataset for Wales",201801,394225,393850,285170
"Out Patient Dataset for Wales",201802,350575,350210,261190
"Out Patient Dataset for Wales",201803,364620,364195,265085
"Out Patient Dataset for Wales",201804,366670,365855,267960
"Out Patient Dataset for Wales",201805,394690,393710,283710
"Out Patient Dataset for Wales",201806,385065,384130,279285
"Out Patient Dataset for Wales",201807,389965,388940,279035
"Out Patient Dataset for Wales",201808,364865,363850,261615
"Out Patient Dataset for Wales",201809,364980,364050,266895
"Out Patient Dataset for Wales",201810,422190,421080,299225
"Out Patient Dataset for Wales",201811,399980,399355,287620
"Out Patient Dataset for Wales",201812,322930,322610,241670
"Out Patient Dataset for Wales",201901,409740,409390,292850
"Out Patient Dataset for Wales",201902,363510,363160,266970
"Out Patient Dataset for Wales",201903,380885,380490,277950
"Out Patient Dataset for Wales",201904,374855,374080,271010
"Out Patient Dataset for Wales",201905,388105,387360,278100
"Out Patient Dataset for Wales",201906,370450,369735,269625
"Out Patient Dataset for Wales",201907,412950,412115,290790
"Out Patient Dataset for Wales",201908,351125,350315,253555
"Out Patient Dataset for Wales",201909,389080,388240,280665
"Out Patient Dataset for Wales",201910,423495,422435,298645
"Out Patient Dataset for Wales",201911,389700,389075,282350
"Out Patient Dataset for Wales",201912,343165,342855,252360
"Out Patient Dataset for Wales",202001,414565,414185,295760
"Out Patient Dataset for Wales",202002,373355,373030,272580
"Out Patient Dataset for Wales",202003,367835,367505,266195
"Out Patient Dataset for Wales",202004,257885,257340,190085
"Out Patient Dataset for Wales",202005,201965,201415,150825
"Out Patient Dataset for Wales",202006,238260,237515,171330
"Out Patient Dataset for Wales",202007,259235,258180,182210
"Out Patient Dataset for Wales",202008,232765,231710,166930
"Out Patient Dataset for Wales",202009,298795,297485,208170
"Out Patient Dataset for Wales",202010,301375,300215,210300
"Out Patient Dataset for Wales",202011,308825,308015,216915
"Out Patient Dataset for Wales",202012,279925,279505,197530
"Out Patient Dataset for Wales",202101,285090,284710,202555
"Out Patient Dataset for Wales",202102,288590,288320,206265
"Out Patient Dataset for Wales",202103,343380,343035,236535
"Out Patient Dataset for Wales",202104,339070,337065,234535
"Out Patient Dataset for Wales",202105,338645,336485,236415
"Out Patient Dataset for Wales",202106,383435,376215,257555
"Out Patient Dataset for Wales",202107,368790,366515,251195
"Out Patient Dataset for Wales",202108,338945,336905,234380
"Out Patient Dataset for Wales",202109,386220,383830,262880
"Out Patient Dataset for Wales",202110,372040,369730,257850
"Out Patient Dataset for Wales",202111,413005,412515,281415
"Out Patient Dataset for Wales",202112,348495,348065,244425
"Out Patient Dataset for Wales",202201,377035,376500,261125
"Out Patient Dataset for Wales",202202,366200,365670,257580
"Out Patient Dataset for Wales",202203,424365,423700,289335
"Out Patient Dataset for Wales",202204,354115,345655,243965
"Out Patient Dataset for Wales",202205,409825,407960,280390
"Out Patient Dataset for Wales",202206,389740,387955,268885
"Out Patient Dataset for Wales",202207,385825,383995,266240
"Out Patient Dataset for Wales",202208,397755,395835,271330
"Out Patient Dataset for Wales",202209,420835,418900,287680
"Out Patient Dataset for Wales",202210,426490,424450,293420
"Out Patient Dataset for Wales",202211,447765,447230,306045
"Out Patient Dataset for Wales",202212,371490,370980,262355
"Out Patient Dataset for Wales",202301,434175,433590,298200
"Out Patient Dataset for Wales",202302,403360,402785,282995
"Out Patient Dataset for Wales",202303,468425,467770,317800
"Out Patient Dataset for Wales",202304,380815,378580,267665
"Out Patient Dataset for Wales",202305,431600,431035,295185
"Out Patient Dataset for Wales",202306,451440,450820,306850
"Out Patient Dataset for Wales",202307,423775,423155,293190
"Out Patient Dataset for Wales",202308,423260,422615,289115
"Out Patient Dataset for Wales",202309,424545,423845,293790
"Out Patient Dataset for Wales",202310,449475,448745,308475
"OutPatient Referral Dataset",189912,10,10,10
"OutPatient Referral Dataset",192301,10,10,10
"OutPatient Referral Dataset",192608,10,10,10
"OutPatient Referral Dataset",193002,10,10,10
"OutPatient Referral Dataset",193006,10,10,10
"OutPatient Referral Dataset",193008,10,10,10
"OutPatient Referral Dataset",193010,10,10,10
"OutPatient Referral Dataset",193109,10,10,10
"OutPatient Referral Dataset",193206,10,10,10
"OutPatient Referral Dataset",193207,10,10,10
"OutPatient Referral Dataset",193211,10,10,10
"OutPatient Referral Dataset",193212,10,10,10
"OutPatient Referral Dataset",193301,10,10,10
"OutPatient Referral Dataset",193307,10,10,10
"OutPatient Referral Dataset",193308,10,10,10
"OutPatient Referral Dataset",193310,10,10,10
"OutPatient Referral Dataset",193312,10,10,10
"OutPatient Referral Dataset",193406,10,10,10
"OutPatient Referral Dataset",193407,10,10,10
"OutPatient Referral Dataset",193409,10,10,10
"OutPatient Referral Dataset",193503,10,10,10
"OutPatient Referral Dataset",193511,10,10,10
"OutPatient Referral Dataset",193608,10,10,10
"OutPatient Referral Dataset",193701,10,10,10
"OutPatient Referral Dataset",193703,10,10,10
"OutPatient Referral Dataset",193707,10,10,10
"OutPatient Referral Dataset",193711,10,10,10
"OutPatient Referral Dataset",193805,10,10,10
"OutPatient Referral Dataset",193810,10,10,10
"OutPatient Referral Dataset",193909,10,10,10
"OutPatient Referral Dataset",193911,10,10,10
"OutPatient Referral Dataset",194001,10,10,10
"OutPatient Referral Dataset",194005,10,10,10
"OutPatient Referral Dataset",194008,10,10,10
"OutPatient Referral Dataset",194102,10,10,10
"OutPatient Referral Dataset",194103,10,10,10
"OutPatient Referral Dataset",194108,10,10,10
"OutPatient Referral Dataset",194111,10,10,10
"OutPatient Referral Dataset",194204,10,10,10
"OutPatient Referral Dataset",194211,10,10,10
"OutPatient Referral Dataset",194308,10,10,10
"OutPatient Referral Dataset",194309,10,10,10
"OutPatient Referral Dataset",194401,10,10,10
"OutPatient Referral Dataset",194403,10,10,10
"OutPatient Referral Dataset",194404,10,10,10
"OutPatient Referral Dataset",194409,10,10,10
"OutPatient Referral Dataset",194410,10,10,10
"OutPatient Referral Dataset",194411,10,10,10
"OutPatient Referral Dataset",194505,10,10,10
"OutPatient Referral Dataset",194506,10,10,10
"OutPatient Referral Dataset",194602,10,10,10
"OutPatient Referral Dataset",194611,10,10,10
"OutPatient Referral Dataset",194612,10,10,10
"OutPatient Referral Dataset",194712,10,10,10
"OutPatient Referral Dataset",194809,10,10,10
"OutPatient Referral Dataset",194908,10,10,10
"OutPatient Referral Dataset",194909,10,10,10
"OutPatient Referral Dataset",194910,10,10,10
"OutPatient Referral Dataset",195001,10,10,10
"OutPatient Referral Dataset",195003,10,10,10
"OutPatient Referral Dataset",195005,10,10,10
"OutPatient Referral Dataset",195008,10,10,10
"OutPatient Referral Dataset",195010,10,10,10
"OutPatient Referral Dataset",195103,10,10,10
"OutPatient Referral Dataset",195104,10,10,10
"OutPatient Referral Dataset",195105,10,10,10
"OutPatient Referral Dataset",195110,10,10,10
"OutPatient Referral Dataset",195112,10,10,10
"OutPatient Referral Dataset",195203,10,10,10
"OutPatient Referral Dataset",195207,10,10,10
"OutPatient Referral Dataset",195210,10,10,10
"OutPatient Referral Dataset",195212,10,10,10
"OutPatient Referral Dataset",195503,10,10,10
"OutPatient Referral Dataset",195511,10,10,10
"OutPatient Referral Dataset",195512,10,10,10
"OutPatient Referral Dataset",195605,10,10,10
"OutPatient Referral Dataset",195710,10,10,10
"OutPatient Referral Dataset",195803,10,10,10
"OutPatient Referral Dataset",195805,10,10,10
"OutPatient Referral Dataset",195808,10,10,10
"OutPatient Referral Dataset",195809,10,10,10
"OutPatient Referral Dataset",195810,10,10,10
"OutPatient Referral Dataset",195811,10,10,10
"OutPatient Referral Dataset",195908,10,10,10
"OutPatient Referral Dataset",195910,10,10,10
"OutPatient Referral Dataset",195911,10,10,10
"OutPatient Referral Dataset",195912,10,10,10
"OutPatient Referral Dataset",196001,10,10,10
"OutPatient Referral Dataset",196003,10,10,10
"OutPatient Referral Dataset",196010,10,10,10
"OutPatient Referral Dataset",196012,10,10,10
"OutPatient Referral Dataset",196102,10,10,10
"OutPatient Referral Dataset",196105,10,10,10
"OutPatient Referral Dataset",196201,10,10,10
"OutPatient Referral Dataset",196208,10,10,10
"OutPatient Referral Dataset",196302,10,10,10
"OutPatient Referral Dataset",196304,10,10,10
"OutPatient Referral Dataset",196310,10,10,10
"OutPatient Referral Dataset",196401,10,10,10
"OutPatient Referral Dataset",196406,10,10,10
"OutPatient Referral Dataset",196407,10,10,10
"OutPatient Referral Dataset",196408,10,10,10
"OutPatient Referral Dataset",196410,10,10,10
"OutPatient Referral Dataset",196508,10,10,10
"OutPatient Referral Dataset",196702,10,10,10
"OutPatient Referral Dataset",196704,10,10,10
"OutPatient Referral Dataset",196801,10,10,10
"OutPatient Referral Dataset",196807,10,10,10
"OutPatient Referral Dataset",196811,10,10,10
"OutPatient Referral Dataset",196906,10,10,10
"OutPatient Referral Dataset",196907,10,10,10
"OutPatient Referral Dataset",196910,10,10,10
"OutPatient Referral Dataset",197002,10,10,10
"OutPatient Referral Dataset",197003,10,10,10
"OutPatient Referral Dataset",197009,10,10,10
"OutPatient Referral Dataset",197205,10,10,10
"OutPatient Referral Dataset",197206,10,10,10
"OutPatient Referral Dataset",197207,10,10,10
"OutPatient Referral Dataset",197209,10,10,10
"OutPatient Referral Dataset",197511,10,10,10
"OutPatient Referral Dataset",197707,10,10,10
"OutPatient Referral Dataset",197710,10,10,10
"OutPatient Referral Dataset",197810,10,10,10
"OutPatient Referral Dataset",198003,10,10,10
"OutPatient Referral Dataset",198203,10,10,10
"OutPatient Referral Dataset",198310,10,10,10
"OutPatient Referral Dataset",198406,10,10,10
"OutPatient Referral Dataset",198510,10,10,10
"OutPatient Referral Dataset",198511,10,10,10
"OutPatient Referral Dataset",198801,10,10,10
"OutPatient Referral Dataset",198802,10,10,10
"OutPatient Referral Dataset",198810,10,10,10
"OutPatient Referral Dataset",199001,10,10,10
"OutPatient Referral Dataset",199003,10,10,10
"OutPatient Referral Dataset",199006,10,10,10
"OutPatient Referral Dataset",199007,10,10,10
"OutPatient Referral Dataset",199011,10,10,10
"OutPatient Referral Dataset",199101,10,10,10
"OutPatient Referral Dataset",199110,10,10,10
"OutPatient Referral Dataset",199112,10,10,10
"OutPatient Referral Dataset",199206,10,10,10
"OutPatient Referral Dataset",199207,10,10,10
"OutPatient Referral Dataset",199209,10,10,10
"OutPatient Referral Dataset",199305,10,10,10
"OutPatient Referral Dataset",199306,10,10,10
"OutPatient Referral Dataset",199401,10,10,10
"OutPatient Referral Dataset",199402,10,10,10
"OutPatient Referral Dataset",199403,10,10,10
"OutPatient Referral Dataset",199405,10,10,10
"OutPatient Referral Dataset",199409,10,10,10
"OutPatient Referral Dataset",199411,10,10,10
"OutPatient Referral Dataset",199504,10,10,10
"OutPatient Referral Dataset",199507,10,10,10
"OutPatient Referral Dataset",199511,10,10,10
"OutPatient Referral Dataset",199604,10,10,10
"OutPatient Referral Dataset",199608,10,10,10
"OutPatient Referral Dataset",199801,10,10,10
"OutPatient Referral Dataset",199802,10,10,10
"OutPatient Referral Dataset",199807,10,10,10
"OutPatient Referral Dataset",199809,10,10,10
"OutPatient Referral Dataset",199811,10,10,10
"OutPatient Referral Dataset",199905,10,10,10
"OutPatient Referral Dataset",199911,10,10,10
"OutPatient Referral Dataset",200001,10,10,10
"OutPatient Referral Dataset",200004,10,10,10
"OutPatient Referral Dataset",200005,10,10,10
"OutPatient Referral Dataset",200006,10,10,10
"OutPatient Referral Dataset",200007,10,10,10
"OutPatient Referral Dataset",200008,10,10,10
"OutPatient Referral Dataset",200009,10,10,10
"OutPatient Referral Dataset",200010,10,10,10
"OutPatient Referral Dataset",200011,10,10,10
"OutPatient Referral Dataset",200012,10,10,10
"OutPatient Referral Dataset",200101,15,15,15
"OutPatient Referral Dataset",200102,10,10,10
"OutPatient Referral Dataset",200103,15,15,15
"OutPatient Referral Dataset",200104,10,10,10
"OutPatient Referral Dataset",200105,10,10,10
"OutPatient Referral Dataset",200106,10,10,10
"OutPatient Referral Dataset",200107,10,10,10
"OutPatient Referral Dataset",200108,10,10,10
"OutPatient Referral Dataset",200109,10,10,10
"OutPatient Referral Dataset",200110,10,10,10
"OutPatient Referral Dataset",200111,15,15,15
"OutPatient Referral Dataset",200112,10,10,10
"OutPatient Referral Dataset",200201,10,10,10
"OutPatient Referral Dataset",200202,10,10,10
"OutPatient Referral Dataset",200203,10,10,10
"OutPatient Referral Dataset",200204,10,10,10
"OutPatient Referral Dataset",200205,10,10,10
"OutPatient Referral Dataset",200206,10,10,10
"OutPatient Referral Dataset",200207,10,10,10
"OutPatient Referral Dataset",200208,10,10,10
"OutPatient Referral Dataset",200209,10,10,10
"OutPatient Referral Dataset",200210,10,10,10
"OutPatient Referral Dataset",200211,10,10,10
"OutPatient Referral Dataset",200212,10,10,10
"OutPatient Referral Dataset",200301,15,15,15
"OutPatient Referral Dataset",200302,10,10,10
"OutPatient Referral Dataset",200303,10,10,10
"OutPatient Referral Dataset",200304,10,10,10
"OutPatient Referral Dataset",200305,10,10,10
"OutPatient Referral Dataset",200306,10,10,10
"OutPatient Referral Dataset",200307,10,10,10
"OutPatient Referral Dataset",200308,10,10,10
"OutPatient Referral Dataset",200311,10,10,10
"OutPatient Referral Dataset",200312,10,10,10
"OutPatient Referral Dataset",200401,10,10,10
"OutPatient Referral Dataset",200402,10,10,10
"OutPatient Referral Dataset",200403,10,10,10
"OutPatient Referral Dataset",200404,10,10,10
"OutPatient Referral Dataset",200405,10,10,10
"OutPatient Referral Dataset",200406,10,10,10
"OutPatient Referral Dataset",200407,10,10,10
"OutPatient Referral Dataset",200408,10,10,10
"OutPatient Referral Dataset",200409,10,10,10
"OutPatient Referral Dataset",200410,10,10,10
"OutPatient Referral Dataset",200411,10,10,10
"OutPatient Referral Dataset",200412,10,10,10
"OutPatient Referral Dataset",200501,10,10,10
"OutPatient Referral Dataset",200502,10,10,10
"OutPatient Referral Dataset",200503,10,10,10
"OutPatient Referral Dataset",200504,10,10,10
"OutPatient Referral Dataset",200505,10,10,10
"OutPatient Referral Dataset",200506,10,10,10
"OutPatient Referral Dataset",200507,10,10,10
"OutPatient Referral Dataset",200509,10,10,10
"OutPatient Referral Dataset",200510,10,10,10
"OutPatient Referral Dataset",200511,15,15,15
"OutPatient Referral Dataset",200512,10,10,10
"OutPatient Referral Dataset",200601,10,10,10
"OutPatient Referral Dataset",200602,10,10,10
"OutPatient Referral Dataset",200603,10,10,10
"OutPatient Referral Dataset",200604,10,10,10
"OutPatient Referral Dataset",200605,10,10,10
"OutPatient Referral Dataset",200606,10,10,10
"OutPatient Referral Dataset",200607,10,10,10
"OutPatient Referral Dataset",200608,10,10,10
"OutPatient Referral Dataset",200609,10,10,10
"OutPatient Referral Dataset",200610,10,10,10
"OutPatient Referral Dataset",200611,10,10,10
"OutPatient Referral Dataset",200612,10,10,10
"OutPatient Referral Dataset",200701,10,10,10
"OutPatient Referral Dataset",200702,10,10,10
"OutPatient Referral Dataset",200703,10,10,10
"OutPatient Referral Dataset",200704,10,10,10
"OutPatient Referral Dataset",200705,10,10,10
"OutPatient Referral Dataset",200706,10,10,10
"OutPatient Referral Dataset",200707,10,10,10
"OutPatient Referral Dataset",200708,10,10,10
"OutPatient Referral Dataset",200709,10,10,10
"OutPatient Referral Dataset",200710,10,10,10
"OutPatient Referral Dataset",200711,10,10,10
"OutPatient Referral Dataset",200712,10,10,10
"OutPatient Referral Dataset",200801,25,25,25
"OutPatient Referral Dataset",200802,25,25,25
"OutPatient Referral Dataset",200803,205,205,200
"OutPatient Referral Dataset",200804,1830,1825,1750
"OutPatient Referral Dataset",200805,1620,1620,1545
"OutPatient Referral Dataset",200806,1755,1755,1665
"OutPatient Referral Dataset",200807,1855,1845,1750
"OutPatient Referral Dataset",200808,1535,1535,1470
"OutPatient Referral Dataset",200809,1815,1815,1730
"OutPatient Referral Dataset",200810,1895,1895,1795
"OutPatient Referral Dataset",200811,1640,1635,1555
"OutPatient Referral Dataset",200812,1525,1520,1455
"OutPatient Referral Dataset",200901,2185,2185,2095
"OutPatient Referral Dataset",200902,2425,2420,2280
"OutPatient Referral Dataset",200903,12650,12610,12175
"OutPatient Referral Dataset",200904,75635,75085,70275
"OutPatient Referral Dataset",200905,72375,71810,67335
"OutPatient Referral Dataset",200906,82480,81870,76320
"OutPatient Referral Dataset",200907,81040,80435,75095
"OutPatient Referral Dataset",200908,69515,68970,64835
"OutPatient Referral Dataset",200909,83930,83335,77660
"OutPatient Referral Dataset",200910,89275,88295,82020
"OutPatient Referral Dataset",200911,85625,84430,78405
"OutPatient Referral Dataset",200912,75975,75755,70525
"OutPatient Referral Dataset",201001,75900,75660,70255
"OutPatient Referral Dataset",201002,85835,85550,79360
"OutPatient Referral Dataset",201003,100125,99820,91990
"OutPatient Referral Dataset",201004,89095,88790,82270
"OutPatient Referral Dataset",201005,87170,86920,80610
"OutPatient Referral Dataset",201006,95765,95505,88195
